Authors	Perseus Author Name	Author-Abbreviation (LSJ)	Author Abbreviation (OLD)	Author Abbreviation (Lewis & Short)	Work Title	Abbreviated Work Title	OLD Edition	P	Loeb Edition	P	Teubner edition	P	Status	ABOS	STOA	PHI	TLG	Date Created	Other (bhl, Perseus)	Authority Record	Created one/Enhanced existing one	Smith or Making of America location	Notes
Theocritus Chius					Fragmentum								new collection	none	none	none	1714.001			yes (dnb)	yes	http://quod.lib.umich.edu/cgi/t/text/pageviewer-idx?c=moa&cc=moa&idno=acl3129.0003.001&frm=frameset&view=image&seq=1039	"Smith, Volume 3, pg. 1031, ""Theocritus of Chios"""
Theocritus Chius					Fragmenta Historica								new collection	none	none	none	1714.002			``	``		
Theodectes(as)					Fragmenta								new collection	none	none	none	0329.001			yes(dnb)	need to enhance		
Theodectes Phaselinus					Testimonium								new collection	none	none	none	1928.001			yes (dnb)	need to enhance		
Theodoretus					Epigrammata								new collection	none	none	none	2125.001			yes	need to enhance	Found no sources as yet	
Theodoridas					Epigrammata								new collection	none	none	none	1715.001			yes	yes	http://www.brillonline.nl/subscriber/entry?entry=dnp_e1207960; http://www.oxfordreference.com/views/ENTRY.html?subview=Main&entry=t111.e6349	
Theodoridas					Fragmenta et tituli								new collection	none	none	none	1715.002			``	``		
Theodorus Bithynius					Epigrammata								new collection	none	none	none	1716.001			yes (dnb)	need to enhance	http://www.brillonline.nl/subscriber/entry?entry=dnp_e1208030; http://quod.lib.umich.edu/cgi/t/text/pageviewer-idx?c=moa&cc=moa&idno=acl3129.0003.001&frm=frameset&view=image&seq=1060	"Brill, ""Theodoros, 11, Epigrammatiker"" Smith, Volume 3, pg. 1052, all three are discussed in the same entry, ""Theodorus, # 36, Epigrammaticus Poeta"""
Theodorus Epigr					Epigrammata								new collection	none	none	none	1717.001			yes (dnb)	need to enhance	http://quod.lib.umich.edu/cgi/t/text/pageviewer-idx?c=moa&cc=moa&idno=acl3129.0003.001&frm=frameset&view=image&seq=1060	"Smith, Volume 3, pg. 1052, all three are discussed in the same entry, ""Theodorus, # 36, Epigrammaticus Poeta"""
Theodorus Proconsul					Epigrammata								new collection	none	none	none	4045.001			yes(dnb)	need to enhance	http://www.brillonline.nl/subscriber/entry?entry=dnp_e1208030; http://quod.lib.umich.edu/cgi/t/text/pageviewer-idx?c=moa&cc=moa&idno=acl3129.0003.001&frm=frameset&view=image&seq=1060	"Brill, ""Theodoros, 33, Th. Proconsul Epigrammatiker, 6. Jh."" --Smith, Volume 3, pg. 1052, all three are discussed in the same entry, ""Theodorus, # 36, Epigrammaticus Poeta"""
Theodulfus					Carmina								new collection	none	stoa0279a-stoa001	none	none			yes	need to enhance		
Theognetus					Fragmenta								new collection	none	none	none	0511.001			yes (dnb)	need to enhance		
Theognis					Elegiae								new collection	none	none	none	0002.001			yes	yes		
Theognis					Epigrammata								new collection	none	none	none	0002.004			``	``		
Theognis Tragicus					Fragmenta								new collection	none	none	none	0313.001			yes(dnb)	yes		
Theon of Alexandria					Epigrammata								new collection	none	none	none	2033.007			yes	yes		
Theon of Smyrna					De utilitate mathematicae								new collection	none	none	none	1724.001			yes	yes		
Theophanes of Byzantium					Fragmenta								new collection	none	none	none	4040.001			yes(dnb)	no	Theophanes of Byzantium, no record in Brill only in Smith	Part of Photius Bibliotheca
Theophanes, the Confessor					Epigrammata								new collection	none	none	none	4046.002			yes-LEFT OFF HERE	need to enhance	NEED TO CREATE NEW AUTHORITY RECORD-ACCORDING TO BRILL (BUT NOT TLG) THIS IS NOT THE AUTHOR	
Theophilus					Fragmenta								new collection	none	none	none	0512.001			yes(dnb)	need to enhance		
Theophrastus					Historiam Plantarum								new collection	none	none	none	0093.001			yes	yes		
Theophrastus					De Causis Plantarum								new collection	none	none	none	0093.002			``	``		
Theophrastus					De sensu et sensibilibus								new collection	none	none	none	0093.003			``	``		
Theophrastus					De lapidibus								new collection	none	none	none	0093.004			``	``		
Theophrastus					De igne								new collection	none	none	none	0093.005			``	``		
Theophrastus					Metaphysica								new collection	none	none	none	0093.006			``	``		
Theophrastus					Characters								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0093,009	none	none	0093.009	340BCE-280BCE		``	``		
Theophrastus					Fragmenta								new collection	none	none	none	0093.010			``	``		There are about 10 works in the LSJ that are part of this fragment that have been separately catalged
Theophrastus					De Odoribus 								new collection	none	none	none	0093.010x01			``	``		
Theophrastus					De Ventis								new collection	none	none	none	0093.010x02						
Theophrastus					De Signis Tempestum								new collection	none	none	none	0093.010x03						
Theophrastus					De Lassitudine								new collection	none	none	none	0093.010x04						
Theophrastus					De Vertigine								new collection	none	none	none	0093.010x05						
Theophrastus					De Sudore								new collection	none	none	none	0093.010x06						
Theophrastus					De Animi Defectione								new collection	none	none	none	0093.010x07						
Theophrastus					De Nervorum Resolutione								new collection	none	none	none	0093.010x08						
Theopompus Comicus					Fragmenta								new collection	none	none	none	0513.001			yes(dnb)	yes	http://quod.lib.umich.edu/cgi/t/text/pageviewer-idx?c=moa&cc=moa&idno=acl3129.0003.001&frm=frameset&view=image&seq=1100, http://www.brillonline.nl/subscriber/entry?entry=dnp_e1209840	Smith , Volume 3, pg. 1092, Theopompus, literary, 1, comic poet, Brill, German only, Theopompos 2,  athen. Komodiendichter
Theopompus Comicus					Fragmentum								new collection	none	none	none	0513.003			``	``		
Theopompus of Chios					Fragmenta								new collection	none	none	none	0566.002			yes	yes		
Theosebeia					Epigrammata								new collection	none	none	none	4047.001			yes(dnb)	need to enhance	http://quod.lib.umich.edu/cgi/t/text/pageviewer-idx?c=moa&cc=moa&idno=acl3129.0003.001&frm=frameset&view=image&seq=1102; http://www.brillonline.nl/subscriber/entry?entry=dnp_e1210040; 	Smith, Volume 3, pg. 1094
Thespis Tragicus					Fragmenta								new collection	none	none	none	0301.001			yes (dnb)	yes		
Thomas Patrikios					Epigrammata								new collection	none	none	none	4049.001			yes	need to enhance	http://www.brillonline.nl/subscriber/entry?entry=dnp_e1211490	"Smith, Volume 3, pg. 1105, ""Thomas, no. 3, a patrician….""Brill, ""Thomas, 3, ""Th. Patrikios, Epigrammiter"""
Thomas Scholasticus					Epigrammata								new collection	none	none	none	4048.001			yes	need to enhance	http://quod.lib.umich.edu/cgi/t/text/pageviewer-idx?c=moa&cc=moa&idno=acl3129.0003.001&frm=frameset&view=image&seq=1113; http://www.brillonline.nl/subscriber/entry?entry=dnp_e1211490	"Smith, Volume 3, pg. 1105, ""Thomas, no. 4,:. Brill: ""Thomas, 2, Th. Scholastikos, Epigammatiker"""
Thomas, of Celano					Dies Irae								new collection	none	stoa0280a-stoa001	none	none			yes	need to enhance		
Thomas, of Monmouth					Vita et Miracula S. Willelmi Nordovicensis. Selections.								new collection	none	stoa0280b-stoa001	none	none			yes	need to enhance		naf-inactive
Thucydides					Historiae								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0003,001	none	none	0003.001	430BCE-400BCE		yes	yes		
Thucydides					Epigramma								new collection	none	none	none	0003.002			``	``		
Thugenides Comicus					Fragmenta								new collection	none	none	none	0514.001			yes(dnb)	yes		
Thugenides Comicus					Fragmentum								new collection	none	none	none	0514.003			``	``		
Thyillus					Epigrammata								new collection	none	none	none	1730.001			yes(dnb)	yes	http://quod.lib.umich.edu/cgi/t/text/pageviewer-idx?c=moa&cc=moa&idno=acl3129.0003.001&frm=frameset&view=image&seq=736; http://www.brillonline.nl/subscriber/entry?entry=dnp_e1212930	Smith, Volume 3, pg. 1116, refers to Satyrus, Literary, no. 4. so entry on pg. 728
Thymocles					Epigramma								new collection	none	none	none	1731.001			yes	need to enhance	http://quod.lib.umich.edu/cgi/t/text/pageviewer-idx?c=moa&cc=moa&idno=acl3129.0003.001&frm=frameset&view=image&seq=1124; http://www.brillonline.nl/subscriber/entry?entry=dnp_e1213110	Smith, Volume 3, pp. 1116-1117
Tiberianus					Selected Poems								new collection	none	stoa0280c-stoa001	none	none			yes(dnb)	need to enhance	http://www.brillonline.nl/subscriber/entry?entry=dnp_e1213320; http://www.oxfordreference.com/views/ENTRY.html?subview=Main&entry=t111.e6438	
Tiberius Illustrius					Epigrammata								new collection	none	none	none	2126.001			yes(dnb)	need to enhance	http://quod.lib.umich.edu/cgi/t/text/pageviewer-idx?c=moa&cc=moa&idno=acl3129.0003.001&frm=frameset&view=image&seq=1132	Smith, Volume 3, pg. 1124, Tiberius, Literary, 2
Tibullus					Carmina/carmina Tibulliana [sp.]								new collection	none	stoa0281-unassigned	660.2	none			yes	yes		
Tibullus					Elegies								new collection	none	stoa0281-stoa001	660.1	none			``	``		
Ticidas					Carmina								new collection	none	none	661.1	none			yes	need to enhance		
Timaeus of Tauromenium					Fragmenta								new collection	none	none	none	1733.002			yes	need to enhance		
Timocles					Fragmenta								new collection	none	none	none	0515.001			yes (dnb)	yes		
Timocles					Fragmentum								new collection	none	none	none	0515.003			``	``		
Timocreon					Fragmenta								new collection	none	none	none	0265.002			yes(dnb)	yes	http://www.brillonline.nl/subscriber/entry?entry=dnp_e1214830; http://www.oxfordreference.com/views/ENTRY.html?subview=Main&entry=t111.e6467	Smith, Volume 3, pg. 1137-8
Timocreon					Epigrammata								new collection	none	none	none	0265.003			``	``		
Timon					Epigrammata								new collection	none	none	none	1735.002			yes	need to enhance		
Timon					Fragmenta								new collection	none	none	none	1735.003			``	``		
Timonides					Fragmenta								new collection	none	none	none	2386.003			yes	need to enhance		
Timostratus					Fragmenta								new collection	none	none	none	0516.001			yes (dnb)	need to enhance		
Timotheus					Fragmenta								new collection	none	none	none	0376.001			yes	need to finish enhancing		
Timotheus Comicus					Fragmenta								new collection	none	none	none	0517.001			yes (dnb)	need to enhance		
Timoxenus Comicus					Titulus								new collection	none	none	none	1793.001			no	yes		
Tiro, M. Tullius					De Vita M. Tulli Ciceronis								new collection	none	none	662.1	none			yes	need to enhance		
Titinius					Togatae								new collection	none	none	137.1	none			yes	yes		
Trabea					Palliatae								new collection	none	stoa0282-stoa001	143.1	none			yes	need to enhance		
Trajan					Dacica								new collection	none	stoa0283-stoa001	1357.2	none			yes	need to enhance		
Trajan					Epigrammata								new collection	none	none	none	1739.001			``	``		
Trebellius Pollo					The Two Valerians								new collection	none	stoa0324	2331.22	none			yes (dnb)	yes	http://quod.lib.umich.edu/cgi/t/text/pageviewer-idx?c=moa&cc=moa&idno=acl3129.0003.001&frm=frameset&view=image&seq=1179; http://www.oxfordreference.com/views/ENTRY.html?subview=Main&entry=t9.e1454	Smith, Volume 3, pg. 1171, Part of Historia Augusta
Trebellius Pollo					The Two Gallieni								new collection	none	stoa0324	2331.23	none			``	``		
Trebellius Pollo					The Thirty Pretenders								new collection	none	stoa0324	2331.24	none			``	``		
Trebellius Pollo					The Deified Claudius								new collection	none	stoa0324	2331.25	none			``	``		
Trogus, Pompeius					Historiae Phillipicae								new collection	none	none	984.2	none			yes	yes		
Trichas					Libellus de novem metris								new collection	none	none	none	2656.001			yes(dnb)	``		
Troilus Grammaticus					Epigrammata								new collection	none	none	none	2127.002			yes(dnb)	need to enhance	http://quod.lib.umich.edu/cgi/t/text/pageviewer-idx?c=moa;cc=moa;q1=Troilus;rgn=full%20text;idno=acl3129.0003.001;didno=acl3129.0003.001;view=image;seq=1185;page=root;size=s;frm=frameset	Smith, Volume 3, pg. 1177
Tryphiodorus					Taking of Ilios								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0647,001	none	none	0647.001			yes	yes		
Tryphon Epigrammaticus					Epigrammata								new collection	none	none	none	1740.001			yes(dnb)	need to enhance	http://quod.lib.umich.edu/cgi/t/text/pageviewer-idx?c=moa&cc=moa&idno=acl3129.0003.001&frm=frameset&view=image&seq=1186; http://www.brillonline.nl/subscriber/entry?entry=dnp_e1221880	"Smith, Volume 3, pg. 1178, Tryphon, literary, no. 2, Brill: ""Tryphon, # 5, epigrammatiker"""
Tryphon, 1st cent. B.C.					Fragmenta								new collection	none	none	none	0609.003			yes	need to enhance		
Tryphon, 1st cent. B.C.					Περὶ παθῶν								new collection	none	none	none	0609.002			``	``		
Tuccianus					Carmina								new collection	none	stoa0283a-stoa001	none	none			yes(dnb)	yes	Sources in Googel Books	
Tullius					De civitate Tarenti								new collection	none	stoa0283b-stoa001	none	none			no	yes	?	
Tullius Geminus					Epigrammata								new collection	none	none	none	1742.001			yes (dnb)	yes	http://quod.lib.umich.edu/cgi/t/text/pageviewer-idx?c=moa;cc=moa;rgn=full%20text;idno=ACL3129.0002.001;didno=ACL3129.0002.001;view=image;seq=00000249; http://www.brillonline.nl/subscriber/entry?entry=bnp_e421260	"Smith, Volume 3, pg. 1184, cross reference to Geminus, Tullius, which is in Smith, Volume 2, pg. 239, ""Geminus, Tullius"", under Geminus, no. 2 ""writer of epigrams"""
Tullius Marcus					Fragmenta								new collection	none	stoa0283c-stoa001	none	none			no	yes	?	
Tullius Sabinus					Epigrammata								new collection	none	none	none	1745.001			yes(dnb)	yes	http://quod.lib.umich.edu/cgi/t/text/pageviewer-idx?c=moa&cc=moa&idno=acl3129.0003.001&frm=frameset&view=image&seq=696;http://www.brillonline.nl/subscriber/entry?entry=dnp_e1026510	"Smith, Volume 3, pg. 688, ""Sabinus, Greek literary, 2"" Brill: ""Sabinos, 3, S. Grammatikos Epigrammatiker"""
Turdulus Gallicanus					Ephemeris								new collection	none	stoa0283d-stoa001	none	none			no	yes		
Turnus					Satura								new collection	none	none	1029.1	none			yes	yes		
Turpilius, Sextus					Palliatae								new collection	none	none	146.1	none			yes	yes		
Tymnes					Epigrammata								new collection	none	none	none	1744.001			yes(dnb)	yes	http://quod.lib.umich.edu/cgi/t/text/pageviewer-idx?c=moa&cc=moa&idno=acl3129.0003.001&frm=frameset&view=image&seq=1203; http://www.brillonline.nl/subscriber/entry?entry=dnp_e1223560	Smith, Volume 3, pg. 1195
Tynnichus					Fragmenta								new collection	none	none	none	0367.001			yes (dnb)	need to enhance		
Tyrtaeus					Fragmenta								new collection	none	none	none	0266.001			yes	yes		
Vagellius					Carmen								new collection	none	none	1032.1	none			yes(dnb)	yes		
Valentis (Statius Valens)					Historia Caesaris								new collection	none	stoa0283e-stoa001	none	none			no	yes	http://quod.lib.umich.edu/cgi/t/text/pageviewer-idx?c=moa;cc=moa;q1=Statius;rgn=full%20text;idno=acl3129.0003.001;didno=acl3129.0003.001;view=image;seq=00000911	"Smith, Volume 3, pg. 903, ""Statius Valens"""
Valerianus, Cornelius					Fragmenta								new collection	none	stoa0283f-stoa001	none	none			no	yes		
Valerius Aedituus	none	none	AED.	none	Epigramma	none	none	no	none	no	no	no	new collection	none	stoa0010-stoa001	402.1	none			yes	yes		
Valerius Antias					Annales								new collection	none	none	676.1	none			yes	yes		
Valerius Flaccus, Gaius					Argonautica								Part of Perseus 4.0 and new collection	Perseus:abo:phi,1035,001	stoa0284-stoa001	1035.1	none			yes	yes		
Valerius Maximus					Facta et Dicta Memorabilia								new collection	none	stoa0285-stoa001	1038.1	none			yes	need to enhance		
Valerius Soranus, Q.					Carmina								new collection	none	none	678.1	none			yes	yes		
Valerius, Julius					Res gestae Alexandri Macedonis								new  collection	none	none	1672.2	none			yes	need to enhance		
Valerius, L.					Mimus								new collection	none	none	674.1	none			yes	need to enhance		
