Authors	Work Title	Volume	Status	ABOS	STOA	PHI or BHL	TLG	Perseus Identifier	Authority Record	Language	Notes
Comica Adespota	Adespota Dubia	Supplementum Comicum	new collection	none	none	none	0659.004		n.a.	Greek	
Comica Adespota	Fragmentum incerti poetae Dorici	Supplementum Comicum	new collection	none	none	none	0659.005		n.a.	Greek	
Danaïs vel Danaïdes	Danaïs vel Danaïdes (fragmentum)	EGF	new collection	none	none	none	0364.001		n.a.	Greek	
Dionis Epistulae	Epistulae	Epistolographi Graeci	new collection	none	none	none	1327.001		n.a.	Greek	
Elegiaca Adespota	Anonymorum Elegiae	Anthologia lyrica graeca, Volume II, 1925	new collection	none	none	none	0231.001		n.a.	Greek	
Elegiaca Adespota	Fragmenta Elegiaca Adespota	Anthologia Lyrica (Hiller-1897); Anthologia Lyrica Graeca, Volume 1, 1925. PLG Vol III	new collection	none	none	none	0234.001		n.a.	Greek	
Epigrammata Demonstrativa	Epigrammata Demonstrativa	Various	new collection	none	none	none	7052.003		n.a.	Greek	
Epitaphium Sicili	Sicili Epitaphium	Musici Scriptores Graeci	new collection	none	none	none	2139.001		n.a.	Greek	
Euripidis Epistulae	Epistulae	Epistolographi Graeci	new collection	none	none	none	1367.001		n.a.	Greek	
Homerica	Certamen Homeri et Hesiodi	Hesiod, The Homeric Hymns and Homerica	new collection	none	none	none	1252.002		no	Greek	
Homerica-Aethiopis	Aethiopis	Hesiod, The Homeric Hymns and Homerica	new collection	none	none	none	0683.002		no	Greek	
